"no_","column_name","data_type","domain","pk","nullable","column_description","note","ors_map","gb_table_description","table_description","table_name","schema_name","backenddb"
NaN,TXN_DATE,Date,NaN,PK,NaN,Ngày dữ liệu,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,ARRANGEMENT_NBR,VARCHAR2(50 Char),NaN,PK,NaN,Số tài khoản/hợp đồng,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,CURRENCY_CODE,VARCHAR2(3 Char),NaN,NaN,NaN,Loại tiền tệ giao dịch. Tham chiếu CURRENCY REF,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,CATE_CODE,VARCHAR2(50 Char),NaN,NaN,NaN,Categ khoản vay,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,SUB_PRODUCT_CODE,VARCHAR2(50 Char),NaN,NaN,NaN,Sub categ khoản vay,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,SECTOR_CODE,VARCHAR2(50 Char),NaN,NaN,NaN,Sector khách hàng,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,LOAN_INDUSTRY_CODE,VARCHAR2(50 Char),NaN,NaN,NaN,Mã mục đích khoản vay,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,T24_CUST_ID,VARCHAR2(50 Char),NaN,NaN,NaN,Mã khách hàng,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,PARTY_KEY,VARCHAR2(50 Char),NaN,NaN,NaN,ID khách hàng,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,BRANCH_CODE,VARCHAR2(50 Char),NaN,FK,NaN,Mã chi nhánh,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,COA_CODE,VARCHAR2(50 Char),NaN,NaN,NaN,GL Code,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,TERM,VARCHAR2(50 Char),NaN,NaN,NaN,"Kỳ hạn (số ngày, tính bằng maturity date - value date)",NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,ARRANGEMENT_INT_RATE,"NUMBER(38,6)",NaN,NaN,NaN,Lãi suất khoản vay,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,INT_KEY,VARCHAR2 (255 Char),NaN,NaN,NaN,Key lãi suất,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,CAMPAIGN_CODE,VARCHAR2(50 Char),NaN,NaN,NaN,Chiến dịch. Tham chiếu CAMPAIGN REF,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,CUST_CREDIT_RATING,VARCHAR2(50 Char),NaN,NaN,NaN,Nhóm nợ khách hàng,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,DIVISION_CODE,VARCHAR2(50 Char),NaN,NaN,NaN,Khối khách hàng,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,LEGACY_CONTRACT_ID,VARCHAR2 (50 Char),NaN,NaN,NaN,Mã số hợp đồng vay - ký trên giấy,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,LOAN_PURPOSE_CODE,VARCHAR2 (50 Char),NaN,NaN,NaN,Mã mục đích vay. Tham chiếu INDUSTRY REF,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,PRODUCT_CODE,VARCHAR2 (50 Char),NaN,NaN,NaN,Mã sản phẩm (level 4). Tham chiếu PRODUCT,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,ARRANGEMENT_CREDIT_RATING,VARCHAR2 (50 Char),NaN,NaN,NaN,Nhóm xếp hạng tín dụng của hợp đồng,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,FUND_SOURCE_CODE,VARCHAR2 (50 Char),NaN,NaN,NaN,"Nguồn tài trợ cho khoản vay (vốn MB hoặc bên ngoài).  Dùng domain ""FUND SOURCE""",NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,SECURED_LOAN_IND,VARCHAR2 (50 Char),NaN,NaN,NaN,Khoản vay có tài sản đảm bảo hay không?,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,DISBURSE_MTD_LCY_AMT,NUMBER,NaN,NaN,NaN,Số tiền giải ngân VND trong tháng,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
NaN,PAYMENT_MTD_LCY_AMT,NUMBER,NaN,NaN,NaN,Số tiền thu nợ VND trong tháng,NaN,NaN,Store CIC loan transaction amount accumulate monthly,Bảng lưu thông tin doanh số thu nợ giải ngân lũy kế hàng tháng,AGG_LOAN_TXN_ACM_MTH,NaN,POSTGRESQL
